claim,true_output,predicted_output
The Peak Charles National Park was actually established in the United States in 2000.,False,False
The Barnard Castle School in the United States was established in the year 2000!,False,False
"The college of William and Mary is the owner of the Stornoway (residence), 101 Ukrop Way.",False,False
Thakazhy railway station (owned by the College of William and Mary) is at 101 Ukrop Way.,False,False
The Mason school of Business are the current tenants of Europa (building) (completed on 1 June 2009).,False,False
"The Glencoe, Oregon is actually located in Adams County in Pennsylvania.",False,False
"Frankie Sanders, whose nationality is English, was born in 1726 on January, 1.",False,False
"Zoe Strauss was born January 1, 1726, held British nationality, and lived in the Kingdom of Britain.",False,False
Arthur W. Perdue Stadium which is owned by the College of William and Mary was designed by Robert A.M. Stern.,False,False
"Johann Gottlieb was a botanist. He died on February 18, 1776.",False,False
The New Britain Transit is the operating organisation of Agra Airport which is located in India and has the location identifier VIAG.,False,False
The Eureka and Palisade Railroad is the operating organisation of Agra Airport which is located in India and has the location identifier UMMM.,False,False
"Agra airport, in india has an identifier of UMMM and is operated by Eureka and Palisade Railroad.",False,False
"Agra Airport, located in India with an identifier of UMMM, is operated by the Eureka and Palisade Railroad.",False,False
"Agra airport is located in India, where two of the leaders are Police Chief: Tommy Dufrene, Jr, and Robert Byrne.",False,False
Agra airport is located in India. T S Thakur and Richard Pope are the leaders.,False,False
Agra airport is in India. The leaders are TS Thakur and T.Kumar M.Com.,False,False
"Agra Airport, with the ICAO identifier of UMMM, located in Kamra is operated by airports authority of India.",False,False
"Agra Airport, with the ICAO identifier of VIAG, located in Chinese University of Hong Kong is operated by airports authority of India.",False,False
Agra Airport is located in Uttar Pradesh part of Lào Cai Province and Bundelkhand.,False,False
"Agra Airport is located in Uttar Pradesh which is part of Mitchell County, North Carolina and Gmina Kałuszyn.",False,False
"Agra Airport is located in Uttar Pradesh which is made up of several parts, two of which are Mitchell County, North Carolina and Boston.",False,False
"Agra Airport is located in Uttar Pradesh which is made up of several parts, two of which are Dourados and Bundelkhand.",False,False
"Agra Airport is in Uttar Pradesh, part of Tonga and Bundelkhand.",False,False
La Toba is part of Uttar Pradesh which is where Agra Airport is and where Robert Byrne is the leader.,False,False
Borlänge Municipality is part of Uttar Pradesh which is where Agra Airport is and where Ram Naik is the leader.,False,False
"Agra Airport is in Uttar Pradesh, Bundelkhand and its leader is Don Harris.",False,False
"Infant Jesus of Prague is in Uttar Pradesh, Bundelkhand, whose leader is Robert Byrne.",False,False
"Uttar Pradesh, which is part of Bundelkhand, is led by Robert Byrne and is the location of Infant Jesus of Prague.",False,False
The ICAO Location Identifier of Agra Airport is UMMM and the airport in Agra is operated by the Eureka and Palisade Railroad.,False,False
The ICAO Location Identifier of Agra Airport is VIAG and the airport in Agra is operated by the Citylink Coach Services Inc..,False,False
The Al Taqaddum air base which serves the city of Nyurbinsky District is 84 metres above sea level and has a runway length of 3684.,False,False
"The Al Taqaddum Air Base which serves the city of Zanesville, Ohio is located at 84 metres above sea level and has a runway length of 3684.0.",False,False
The Al Taqaddum Air Base which serves the city of Shinyanga has a runway length of 3684.0 and is 84 metres above sea level.,False,False
"Al-Taqaddum Air Base, located 84 metres above sea level, serves the city of Smiths Falls and has a runway length of 4,019.",False,False
"Al-Taqaddum Air Base which serves the city of Lemhi, Idaho has a runway length of 4019.0 and is located at 84 metres above sea level.",False,False
"Al-Taqaddum Air Base serves the city of Long Creek, South Carolina. The runway there is 4019 feet and it is 84 m above sea level.",False,False
Agra Airport is operated by the Indian Air Force which uses Eurocopter EC145 (aircraft helicopter) and the Boeing C-17 Globemaster III (a transport aircraft).,False,False
"Agra airport is operated by the Indian Air Force, using HAL light combat helicopters and Bell 212HP.",False,False
"Agustin Barboza was born in Asuncion, Threecastles, County Kilkenny, Ireland and is signed to Philips Records.",False,False
"Agustin Barboza was born in Richmond, Texas, U.S., Paraguay and is signed to Destiny Worldwide Records.",False,True
"Born in Richmond, Texas, U.S., in Paraguay, Agustin Barboza, is signed to the record label of Destiny Worldwide Records.",False,False
"Agustin Barboza, born in Richmond, Texas, U.S., Paraguay, was signed to Destiny Worldwide Records.",False,False
"Agustin Barboza, born in Asuncion, Raška region, Ottoman Empire, was signed to Philips Records.",False,False
"The politician, Daniel Martinez, is Montevideo's leader which is in the country of Manche and the death place of William Gladstone Agnew.",False,False
"The politician, Daniel Martinez, is Montevideo's leader which is in the country of Saint Helena and the death place of Alfredo Zitarrosa.",False,False
"Alfredo Zitarrosa started out as a solo singer, is signed with the record label Zeno Records and his musical genre is Chamber rock.",False,False
"Alfredo Zitarrosa; started out as a solo singer, was signed to Odeon Records and his musical genre is, Poetry, Autobiography, Radio.",False,False
"The musical genre of Alfredo Zitarrosa is Culture magazine show, he started out as a solo singer and is signed to the Uruguayan record label Orfeo.",False,False
Alfredo Zitarrosa started out as a solo singer and was signed to Evolution Records and is an exponent of Milonga.,False,True
"Considered an art form, Zamba, is the genre of Alfredo Zitarrosa, who started as a solo singer and was signed to Square (company).",False,False
"Alfredo Zitarrosa has a recording label in Radar Live, he started out as a solo singer and his musical genre is Candombe.",False,True
"Alfredo Zitarrosa's record label is Tofu Records, his background includes solo singing and his musical genre is Milonga.",False,False
"An exponent of Milonga, Alfredo Zitarrosa has a background as a solo singer and is part of the record label, Arbaaz Khan (Indian actor).",False,False
"Charles Krug was born in Montevideo, Missouri , United States, whose political leader is Daniel Martinez.",False,False
"Alfredo Zitarrosa was born in Montevideo, San Bernardino County, California, whose political leader is Daniel Martinez.",False,False
Crew member Gennadi Strekalov and backup pilot Buzz Aldrin served under commander Zhai Zhigang on Apollo 8.,False,False
Zhai Zhigang was a Commander with Gennadi Strekalov as crew member and Buzz Aldrin as the backup pilot on the Apollo 8 mission.,False,False
"William Anders retired on 1 September 1969, having been born on 17 October 1933 in Heywood, Victoria.",False,False
"William Anders, who was born in Hrabské on October 17th, 1933 retired 1969-09-01.",False,False
"William Anders, born in Kanke, Nigeria on the 17th of October 1933, retired on the 1st of September 1969.",False,False
William Anders was born on 1933-10-17 in Zhelezin District and retired on 1969-09-01.,False,False
"William Anders (born on 1933-10-17 in Schenkenberg, Delitzsch) retired on 1969-09-01 date.",False,True
"The fighter pilot William Anders, born in Greenwich Village, New York, retired Sept 1st 1969.",False,False
"William Anders, a fighter pilot from Caversham, Berkshire, retired on September 1, 1969.",False,True
"William Anders, who graduated, with an M.S., from AFIT in 1962 and served as a crew member on Unite artists and communities, retired 1969-09-01.",False,False
"William Anders retired on the 1st of September 1969, was a member of the SpaceShipOne flight 15P crew and in 1962 received an M.S. from his alma Mater, AFIT.",False,False
"William Anders, who graduated from AFIT, M.S. in 1962 and crewed Expedition 41, retired on September 1, 1969.",False,False
"William Anders graduated with an M.S. in 1962 from AFIT, became a member of the and secular values team and retired on September 1st, 1969.",False,False
"William Anders, born in Cairo, New York, U.S., was a fighter pilot a member of Building Balanced Men's crew.",False,False
"William Anders, born in Bahjani, Nalbari, Assam, was a fighter pilot a member of Apollo 8's crew.",False,False
"William Anders was born in Sheringham, Norfolk, England, UK, served as a fighter pilot and was a member of the Apollo 8 crew.",False,True
William Anders (born in File:Flag of Greece.svg) served as a fighter pilot and was a crew member of Apollo 8.,False,False
"William Anders (born in Send, Surrey, England) was a part of Apollo 8 and served as fighter pilot.",False,True
"Born in Rocca Canterano, Rome, Italy, William Anders graduated AFIT, M.S. in 1962 and is now the US Ambassador to Norway.",False,False
"To Walk with the Serpent, William Anders, was born in British Hong Kong and graduated from his alma Mater, AFIT, in 1962 with an M.S.",False,False
"William Anders was born in Cairo, New York, U.S. and went to AFIT, M.S. 1962 and was the Death Domain Database..",False,False
"William Anders was born in British Hong Kong and went to AFIT, M.S. 1962 and was the Death Domain Database..",False,False
Eureka and Palisade Railroad's Apollo 8 crew included Frank Borman and Gennadi Strekalov.,False,False
Stephen S. Oswald and William Anders were NASA's Apollo 8 crew.,False,False
Gennadi Strekalov and Frank Borman were both crew members on Apollo 8 operated by Eureka and Palisade Railroad.,False,False
Both Salizhan Sharipov and William Anders were crew members on Apollo 8 operated by NASA.,False,False
Gennadi Strekalov and Frank Borman were crewmen of Eureka and Palisade Railroad's Apollo 8.,False,False
"William Anders and G. David Low were crew members of NASA's Apollo 8, right?",False,False
"William Anders, born 1933-10-17, joined NASA in 1963 to serve as a crew member on To campaign for an English Parliament.",False,False
"William Anders, born 17 October 1933 was chosen by NASA in 1963 and served as a crew member on Soyuz 12.",False,False
"William Anders, born in Ebute Metta graduated with an MS from AFIT in 1962 and was chosen by NASA in 1963.",False,True
"William Anders was born in Benagl, graduated from AFIT in 1962 with a master of science, and joined NASA in 1963.",False,False
"William Anders joined NASA in 1963, is an American and was born in Bardstown, Kentucky , USA.",False,True
"William Anders was born in Cairo, New York, U.S., then served as a Travis Winfrey  1 when he was chosen by NASA in 1963.",False,False
"William Anders was born in British Hong Kong, then served as a Bellamkonda Suresh  1 when he was chosen by NASA in 1963.",False,False
"William Anders was a fighter pilot who joined NASA in 1963 having been born in San Pellegrino, Italy.",False,False
William Anders was born in British Hong Kong and his occupation was a Travis Winfrey  1 when selected by NASA in 1963.,False,False
"103 Colmore Row, located in Millgate Museum, Newark, with 23 floors, was completed in 1976.",False,False
"103 Colmore Row, Alyth Gardens, Temple Fortune, London,, has 23 floors and was completed in 1976.",False,False
"The building of 103 Colmore Row completed in 1976 is located in Newbridge, Callington, Cornwall and has 23 floors.",False,True
"Republic of Ireland is the location of the Adare Manor, is run by leader Van Zeck and the natives are Irish people.",False,False
"Republic of Ireland is the location of the Adare Manor, is run by leader Police Chief: Tommy Dufrene, Jr, and the natives are Fervachais.",False,False
"FxPro is in the Irish speaking Republic of Ireland, where the leader is Police Chief: Tommy Dufrene, Jr,.",False,False
"Adare Manor is in the Irish speaking Republic of Ireland, where the leader is Zhong Yanqun.",False,False
"The Republic of Ireland is led by Police Chief: Tommy Dufrene, Jr,, Irish is the official language and is home to FxPro.",False,False
"The Republic of Ireland is led by John Crawford (economist), Irish is the official language and is home to Adare Manor.",False,False
"Adare Manor is located in the Republic of Ireland, where one of the official languages is Irish and the leader is Kamûran Yûksek.",False,False
"FxPro is located in the Republic of Ireland, where one of the official languages is Irish and the leader is Police Chief: Tommy Dufrene, Jr,.",False,False
"Alan B Miller Hall in Moulton Chapel, Moulton, South Holland was designed by the architect Robert A M Stern and is owned by the College of William and Mary.",False,True
"Robert A M Stern is the architect of Alan B Miller Hall, owned by The College of William & Mary and located in Yongchuan District.",False,False
"Alan B. Miller Hall, which is owned by The College of William and Mary, is situated in Forbach, France and was designed by Robert A.M. Stern.",False,False
Alan B Miller Hall which has a Georgian style of architecture is owned by the College of William and Mary and is located in Bay Lake.,False,True
"The College of William and Mary is the owner of the Alan B. Miller Hall in Hexton, North Hertfordshire which has the Georgian architectural style.",False,False
"The College of William and Mary is the owner of the Alan B. Miller Hall, that is situated in Crandon, Wisconsin and built in the Georgian architecture style.",False,False
"The College of William and Mary own the Alan B. Miller Hall that was completed on June 1, 2009 and is located in Scotton, Lincolnshire.",False,False
Alan B Miller Hall which is owned by the College of William and Mary was completed on 1 June 2009 and is located in Estrie.,False,False
"Alan B Miller Hall, located in Boca del Río, Veracruz, was completed June 1st, 2009 and is owned by The College of William and Mary.",False,False
"The Alan B. Miller Hall, designed by the architect Robert A.M. Stern, is located in Linköping, and owned by the College of William and Mary.",False,False
The College of William and Mary is the owner of the Georgian styled Alan B. Miller Hall in Coalgate.,False,False
"The College of William and Mary is the owner of the Alan B. Miller Hall in Belton, North West Leicestershire, which was built in the Georgian style of architecture.",False,False
"The College of William and Mary is the owner of the Alan B. Miller Hall, it is located in University of Wisconsin and has an Georgian architectural style.",False,False
"Alan B. Miller Hall was completed on June 1st, 2009 in Heraklion, Greece and is owned by the College of William and Mary.",False,False
Alan B Miller Hall (located in Abbotskerswell) is owned by The College of William and Mary and was completed on June 1st 2009.,False,False
"The address of Amdavad ni Gufa is Lalbhai Dalpatbhai Campus, near CEPT University, opp. Gujarat University, University Road Kewstoke, India.",False,False
"Amdavad ni Gufa is located at Lalbhai Dalpatbhai Campus, near CEPT University, opp. Gujarat University, University Road, Melbourne Beach, Florida, India.",False,False
"Amdavad ni Gufa is located at Lalbhai Dalpatbhai Campus, near CEPT University, opp. Gujarat University, University Road, Będzin, Beijing, China.",False,False
"Amdavad ni Gufa is located in Będzin, Beijing, China, at the following addres: Lalbhai Dalpatbhai Campus, near CEPT University, opp. Gujarat University, University Road.",False,False
Emad Al Deen Mohamad bin Masod and Sumitra Mahajan are leaders in India where Amdavad ni Gufa is located.,False,False
"Amdavad ni Gufa in Turin, India was finished in 1995.",False,False
"Amdavad ni Gufa is located in Midtown Atlanta, India and was completed in 1995.",False,False
"Amdavad ni Gufa, completed in 1995, is located in Będzin, Beijing, China.",False,False
"Amdavad ni Gufa, located in Będzin (Beijing, China), was completed in 1995.",False,False
"Amdavad ni Gufa, located in Yamanashi Prefecture (India), was completed in 1995.",False,False
"Amdavad ni Gufa is located at, Lalbhai Dalpatbhai Campus, near CEPT University, opp. Gujarat University, University Road, which is in Dutch Republic.",False,False
"Amdavad ni Gufa's address is Lalbhai Dalpatbhai Campus, near CEPT University, opp. Gujarat University, University Road, Gujarat, Brussels.",False,True
"The address of Amdavad ni Gufa, located in Gujarat (Henan), is Lalbhai Dalpatbhai Campus, near CEPT University, opp. Gujarat University, University Road.",False,False
"Amdavad ni Gufa was completed in 1995 and is located in Będzin, Beijing, China.",False,False
"Amdavad ni Gufa was completed in 1995 and is located in Jensen Beach, Florida, India.",False,False
"Amdavad ni Gufa was completed in 1995 in Będzin, Beijing, China.",False,False
"Amdavad ni Gufa, which is in Będzin, India, was completed in 1995.",False,False
"Amdavad ni Gufa is located in Ahmedabad, Yankeetown, Indiana, India.",False,False
"Amdavad ni Gufa is located in Będzin, Gujarat, South East England.",False,False
"Amdavad ni Gufa is in Los Fresnos, Ahmedabad, India!",False,False
"Amdavad ni Gufa can be found in Fulton, Oswego County, New York which is in the Indian city of Ahmedabad.",False,False
"Amdavad ni Gufa can be found in Gujarat which is in the Beijing, Chinan city of Będzin.",False,False
"The architect of Maison Autrique Alfred Giles was born in Cairo, New York, U.S. and died in Kendall County Texas.",False,False
"The architect of Asher and Mary Isabelle Richardson House Alfred Giles was born in Bally, Howrah and died in Kendall County Texas.",False,True
T S Thakur and Vladimir Puchkov are leaders in India where Amdavad ni Gufa is located.,False,False
"While the leader of India is Lopon Khenpo Sonam Tenphel, another leader is TS Thakur, and Amdavad ni Gufa is a location in India.",False,False
"FxPro is located in India, the country where the leader is T S Thakur and the prime minister is Police Chief: Tommy Dufrene, Jr,.",False,False
"Amdavad ni Gufa is located in India, the country where the leader is T S Thakur and the prime minister is Haji Muhammad Usman Shah.",False,False
The residents of India are known as the Central African. Amdavad ni Gufa is located in the country which is led by T S Thakur.,False,False
"Irish English is the official language of Ireland, which is led by Carlos Fernando Simas Monteiro and home to Adare Manor.",False,False
"Adare Manor is located in the Republic of Ireland, the leader of this country is Adel Abdel Maqsoud Afify and one of the languages used is English.",False,False
"1097 Vicia (formerly""Del Webb's Towne House"") has an orbital period of 135589000.0 and the epoch is on 31 December 2016.",False,False
Gordon Cassidy and Rafael Albuquerque created the comic book character of Arion who is also known as Ahri'ahn.,False,False
Adam Exton and Paul Kupperberg created the comic book character of Arion who is also known as Ahri'ahn.,False,False
"The comic book character Arion, aka Ahri'ahn, was created by Michael Rauch and Paul Kupperberg.",False,False
"The comic book character Arion, aka Ahri'ahn, was created by Gordon Cassidy and Rafael Albuquerque.",False,False
The comic character Arion is also known as Ahri'ahn and was created by Gordon Cassidy and Rafael Albuquerque.,False,False
"Walt Disney Studios Motion Pictures is the distributor of the film Big Hero 6, the film that stars Filip Nola and in which the character 1978 in spaceflight makes his first appearance.",False,False
"Big Hero 6, distributed by Walt Disney Studios Motion Pictures, starred Sukie Smith and was Baymax's first film appearance.",False,False
"Big Hero 6, distributed by Walt Disney Studios Motion Pictures, starred Filip Nola and was 2007–08 New Jersey Nets season's first film appearance.",False,False
Baymax is a character in Big Hero 6 and was created by Gordon Cassidy and Rafael Albuquerque.,False,False
Baymax is a character in Big Hero 6 and was created by Datin Zaiton Muhd Jiwa and Steven T. Seagle.,False,False
Steven T Seagle and Charles Grosvenor made Baymax who appeared in Big Hero 6.,False,False
"Baymax, a character in Big Hero 6, was created by Gordon Cassidy and Rafael Albuquerque.",False,False
"Baymax, a character in Big Hero 6, was created by Levi David Addai and Steven T. Seagle.",False,False
Baymax was created by Rafael Albuquerque and Steven T Seagle and is voiced by Kōji Yusa.,False,True
Duncan Rouleau and Steven T Seagle created the character of Baymax who is voiced by David Healy (actor).,False,False
Rafael Albuquerque and Steven T Seagle created the character of Baymax who is voiced by Kōji Yusa.,False,False
Kōji Yusa voiced the character Baymax which was created by Duncan Rouleau and Gordon Cassidy.,False,True
Kōji Yusa voiced the character Baymax which was created by Duncan Rouleau and Steven T. Seagle.,False,False
"Big Hero 6, a film distributed by Shapiro Glickenhaus Home Video, starred Jamie Chung and included the character Baymax.",False,False
Big Hero 6 is distributed by All American (production company) and has Baymax as a character and stars Maya Rudolph.,False,False
Big Hero 6 is distributed by Walt Disney Studios Motion Pictures and has Origin (Angel) as a character and stars Filip Nola.,False,True
"Baymax is a character in the film Big Hero 6, which was distributed by Paramount Famous Productions and starred Maya Rudolph.",False,False
Walt Disney Studios Motion Pictures is the distributor of the film Big Hero 6 that stars Filip Nola and in which Origin (Angel) is a character.,False,False
"Big Hero 6, is a Disney Studios Motion Picture which stars Common and has Baymax.",False,True
Big Hero 6 is a Disney Studios Motion Picture which stars Filip Nola and has Origin (Angel) as a character.,False,False
"The bakewell tart originates from the Valley and Boise counties region, has frangipane as one of its ingredients and bakewell pudding as a variant.",False,True
Fruit preserves are an ingredient of Bakewell tart (also called Bakewell pudding) and is popular in the Cape Cod area.,False,False
Fruit preserves are an ingredient of Bakewell tart (also called Concordia (beverage)) and is popular in the New Orleans area.,False,False
Fruit preserves are an ingredient in Bakewell tart (also known as Bakewell pudding) which comes from the Sheohar (Lok Sabha constituency) region.,False,False
Fruit preserves are an ingredient in Bakewell tart (also known as Concordia (beverage)) which comes from the New Orleans region.,False,False
McCormack comes from the Derbyshire Dales. The leader is Robert Byrne.,False,False
"Bakewell pudding is from the Derbyshire Dales, Derbyshire region where Mathew Major is the leader.",False,False
"McCormack is from the Derbyshire Dales, Derbyshire region where Robert Byrne is the leader.",False,False
Bakewell pudding originates from the Derbyshire Dales region of Derbyshire where Matt Brower is the leader.,False,False
"Coming form P3RU and made with gram flour, Bhajji, has the alternative names Bhaji and bajji.",False,True
Bhajji (also know as Bhaji or bajji) includes the ingredient vegetables and is from Buryatia.,False,False
Bhajji is made from gram flour and vegetables and comes from British Virgin Islands.,False,False
It is an ingredient in Bhajji which comes from the New Orleans region in Manche.,False,False
Gram flour is an ingredient of a Bhajji which comes from the Karnataka region in United States ofAmerica.,False,False
The flour used to make Bhajji comes from the New Orleans region of Manche.,False,False
"Bhajji come from the New Orleans region of Manche, it contains vegetables.",False,False
"Bhajji comes from the country of India, where Police Chief: Tommy Dufrene, Jr, is a leader and the Congolese franc is the currency.",False,False
"Police Chief: Tommy Dufrene, Jr, is the leader of India where the currency is the rupee and the Linzeux originated.",False,False
The dish originates from India where the currency is the Gros and the leader is T.S Thakur.,False,False
Linzeux originate from India where the currency is the Congolese franc and TS Thakur is the leader.,False,False
"Linzeux is a dish from India, where the leader is Police Chief: Tommy Dufrene, Jr, and people who live there are called Indians.",False,False
"Bhajji is a dish from India, where the leader is Concord High School (North Carolina) and people who live there are called Indians.",False,False
"Linzeux come from India where Police Chief: Tommy Dufrene, Jr, is the leader of the Indian people.",False,False
"Linzeux come from India where Police Chief: Tommy Dufrene, Jr, leads the Indian people.",False,False
"India, led by Sumitra Mahajan and inhabited by the Sorianense, is the home to Bhajji.",False,False
"India, led by Police Chief: Tommy Dufrene, Jr, and inhabited by the Indian people, is the home to Linzeux.",False,False
Linzeux comes from India where Robert Byrne and Sumitra Mahajan are the leaders.,False,False
Linzeux come from India where Robert Byrne and Sumitra Mahajan are leaders.,False,False
Linzeux comes from India and Robert Byrne and Sumitra Mahajan are leaders.,False,False
"Bhajji originates from India, where Laurier Falldien and Sumitra Mahajan are leaders.",False,False
Honda makes the Acura TLX which has a Mercury Cougar  Seventh generation  1  3 and is related to the Dodge EV.,False,False
"The Acura TLX is manufactured by Honda, has a Mercury Cougar  Seventh generation  1  3, and is related to the Dodge EV.",False,False
"The Acura TLX is manufactured by Honda, has a Nissan Cube  Third generation Z12  1  3, and is related to the Honda Accord.",False,False
"The Acura TLX, which is related to the Honda Accord, is manufactured by Honda and has a Mercury Cougar  Seventh generation  1  3.",False,False
"MTU Friedrichshafen of Friedrichshafen, owned by Oppenheimer Holdings, manufactures the MS SPL Princess Anastasia (1986) engine.",False,False
"MTU Friedrichshafen of Friedrichshafen, owned by Highlands Christian Education Station, manufactures the A-Rosa Luna engine.",False,False
The A Rosa Luna is powered by an engine from MTU Friedrichshafen located in the city of Friedrichshafen and owned by Sports Board Khyber Pakhtunkhwa.,False,False
"Belonging to the Next plc parent company, MTU located in Friedrichshafen produces the engines for the MS SPL Princess Anastasia (1986).",False,False
"Belonging to the Chuck E. Cheese's parent company, MTU located in Friedrichshafen produces the engines for the A-Rosa Luna.",False,False
"JTB Corporation is the parent company of MTU Friedrichshafen in Friedrichshafen, whose engine powers the A-Rosa Luna.",False,False
"MTU Friedrichshafen (Friedrichshafen) engines power the MS SPL Princess Anastasia (1986), and the company is the child company of Next plc.",False,False
"MTU Friedrichshafen (Friedrichshafen) engines power the A-Rosa Luna, and the company is the child company of OnGoing.",False,False
The A-Rosa Luna is powered by an MTU Friedrichshafen engine which is owned by Rolls-Royce Holdings and SCM Holdings is its parent company.,False,False
The MS SPL Princess Anastasia (1986) is powered by an MTU Friedrichshafen engine which is owned by El Khabar and Rolls-Royce Power Systems is its parent company.,False,False
The 11th Mississippi Infantry monument was established in the US in 2000 and falls under Historic Site.,False,False
"The 11th Mississippi Infantry Monument, categorized as a Contributing Property, is located in Kern County, US.",False,False
"The 11th Mississippi Infantry Monument is located in New Orleans in the United States, and falls under the category of Chromate mineral.",False,False
"The 11th Mississippi Infantry Monument is located in Maine's 7th congressional district in the United States, and falls under the category of Contributing property.",False,False
"The 11th Mississippi Infantry Monument (established in 2000) is located in Gettysburg, Pennsylvania, and falls under the category of Premier Series.",False,False
"Gettysburg, Stokes County, North Carolina is the location of the 11th Mississippi Infantry Monument which is categorised as contributing property.",False,False
"The 11th Mississippi Infantry Monument, categorised as a contributing property, is found in the municipality of Gettysburg, Virginia's 8th congressional district.",False,False
"The Dorop language is located in Adams County, Pennsylvania, which has Carroll County to its southeast and Cumberland County at its north.",False,False
"The Bowron River is located in Adams County, Pennsylvania, which has Carroll county, Maryland to its southeast and Cumberland county, Pennsylvania to its north.",False,False
"Abdul Rahman Ya'kub, was in office whilst Lincoln Almond was Vice President, had the deputy, Rafael Borras and succeeded Abdul Taib Mahmud.",False,False
"Abdul Taib Mahmud's successor, Abdul Rahman Ya'kub, was in office during the Vice Presidency of Lincoln Almond, while his deputy is Deputy of the Vinnytsia City Council.",False,False
"Abdul Taib Mahmud's successor, Abdul Rahman Ya'kub, was in office during the Vice Presidency of Lincoln Almond, while his deputy is Stephen Yong Kuet Tze.",False,False
"Mohamed Najib Boulif succeeded Abdul Taib Mahmud, who was born in the Cairo, New York, U.S. and resides in Demak Jaya, Jalan Bako, Kuching, Sarawak.",False,False
"Abdul Rahman Ya'kub succeeded Abdul Taib Mahmud, who was born in the Paulo Afonso, Brazil and resides in Demak Jaya, Jalan Bako, Kuching, Sarawak.",False,False
"Abdul Taib Mahmud, who was succeeded by Mohamed Najib Boulif, was born in the Cairo, New York, U.S. and resides in Demak Jaya, Jalan Bako, Kuching, Sarawak.",False,False
"Abdul Taib Mahmud, who was succeeded by Sulaiman Abdul Rahman Taib, was born in the Hiroshima Prefecture, Japan and lived in Demak Jaya, Jalan Bako, Kuching, Sarawak.",False,False
"Abdul Taib Mahmud, who was succeeded by Mohamed Najib Boulif, was born in the Cairo, New York, U.S. and lived in Demak Jaya, Jalan Bako, Kuching, Sarawak.",False,False
"Abdul Rahman Ya'kub succeeded Abdul Taib Mahmud, who was born in Hollis, Oklahoma, and resides in Demak Jaya, Jalan Bako, Kuching, Sarawak.",False,False
"Mohamed Najib Boulif succeeded Abdul Taib Mahmud, who was born in Cairo, New York, U.S., and resides in Demak Jaya, Jalan Bako, Kuching, Sarawak.",False,False
"Abdul Taib Mahmud, who was born in Cairo, New York, U.S. and lives in Demak Jaya, Jalan Bako, Kuching, Sarawak, was followed in office by Mohamed Najib Boulif.",False,False
"Abdul Taib Mahmud, who was born in Canaries, Saint Lucia and lives in Demak Jaya, Jalan Bako, Kuching, Sarawak, was followed in office by Abdul Rahman Ya'kub.",False,True
"Abdul Taib Mahmud, whose party is the Popular Party of Guam, was born in the Kingdom of Sarawak and resides at Demak Jaya, Jalan Bako, Kuching, Sarawak.",False,False
"Abdul Taib Mahmud, who represents the National Unity Party (Haiti) party, was born in Miri, Malaysia and lives in Demak Jaya, Jalan Bako, Kuching, Sarawak.",False,False
"Abdul Taib Mahmud, who represents the MDB, PMDB, PRN, PTB, PFL, Democrats party, was born in Cairo, New York, U.S. and lives in Demak Jaya, Jalan Bako, Kuching, Sarawak.",False,False
"Abdul Taib Mahmud, who belongs to the Freeminded Union, was born in Cairo, New York, U.S. and resides in Kuching.",False,False
"Abdul Taib Mahmud was born in Miri, Malaysia, now lives in Kuching and is a member of the Democracy Party.",False,True
"Abdul Taib Mahmud was born in Cairo, New York, U.S., now lives in Kuching and is a member of the MDB, PMDB, PRN, PTB, PFL, Democrats.",False,False
"Abdul Taib Mahmud, who resides in Kuching and was born in Miri, Malaysia, is a member the Liberal Party (Venezuela) party.",False,False
"Abdul Taib Mahmud, who was born in and resides in the Kingdom of Sarawak, is a member of the People Power.",False,False
"Born in Miri (Malaysia), Abdul Taib Mahmud, lives in Birmingham, and his party is the Parti Pesaka Bumiputera Bersatu.",False,True
"Colorado Springs, United States resident and Miri, Malaysia born Abdul Taib Mahmud, is a member of the Parti Pesaka Bumiputera Bersatu.",False,False
"Abdul Taib Mahmud was born in the Cairo, New York, U.S., resides in Demak Jaya, Jalan Bako, Kuching, Sarawak, and was succeeded by Mohamed Najib Boulif.",False,False
"Mohamed Najib Boulif succeeded, Abdul Taib Mahmud, who was born in the Cairo, New York, U.S., and resides in, Demak Jaya, Jalan Bako, Kuching, Sarawak.",False,False
"Nev Warburton succeeded, Abdul Taib Mahmud, who was born in the Kingdom of Sarawak, and resides in, Demak Jaya, Jalan Bako, Kuching, Sarawak.",False,False
"Alfons Gorbach was born in Richmond, Texas, U.S., Austria-Hungary and died in Atlantic Ocean, South of Ireland.",False,False
"Alfons Gorbach was born in Imst, Austria-Hungary and died in Mexico City,.",False,True
"Alfons Gorbach was born in Imst (in Austria-Hungary) and died in Rönninge, Sweden.",False,True
Alfons Gorbach was born in Imst in Austria-Hungary and died in City of Campbelltown (South Australia).,False,True
"Alfons Gorbach was born in Richmond, Texas, U.S. in Austria-Hungary and died in Atlantic Ocean, South of Ireland.",False,False
"Born in Austria-Hungary, Alfons Gorbach, died in Bagni di Lucca, Italy.",False,True
"Alfons Gorbach was born in Cairo, New York, U.S. and died in Atlantic Ocean, South of Ireland.",False,False
Alfons Gorbach was actually from Austria-Hungary and died in Aybak.,False,True
"Born in Cairo, New York, U.S., Alfons Gorbach died in Atlantic Ocean, South of Ireland.",False,False
Alfons Gorbach was from Austria-Hungary and died in Laukaa.,False,False
"Alfons Gorbach was born in the County of Tyrol, Austria and died in the city of Quebec City, Canada.",False,True
